City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Vaini,TO,80.6,few clouds,-21.2,-175.2,Keleti Beach Resort
Hilo,US,78.8,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
Gewane,ET,79.45,scattered clouds,10.17,40.65,
Atuona,PF,82.96,scattered clouds,-9.8,-139.03,Villa Enata
Port Alfred,ZA,79.66,scattered clouds,-33.59,26.89,The Halyards Hotel
Rikitea,PF,76.87,overcast clouds,-23.12,-134.97,Pension Maro'i
Kapaa,US,78.8,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
Ambagarh Chauki,IN,80.31,few clouds,20.78,80.72,Family Dhaba
Sao Joao Da Barra,BR,77.0,broken clouds,-21.64,-41.05,Pousada Porto De Canoas
Hithadhoo,MV,84.72,overcast clouds,-0.6,73.08,Scoop Guest House
Puerto Ayora,EC,86.0,shower rain,-0.74,-90.35,Finch Bay Galapagos Hotel
Oussouye,SN,82.4,scattered clouds,12.48,-16.55,Auberge du Routard
Road Town,VG,82.99,few clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
Vallenar,CL,75.42,clear sky,-28.57,-70.76,Humacao Bed & Breakfast
Mar Del Plata,AR,75.2,few clouds,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
Caravelas,BR,76.26,broken clouds,-17.71,-39.25,Pousada dos Navegantes
Mahebourg,MU,75.99,shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
Vilhena,BR,78.8,scattered clouds,-12.74,-60.15,Hotel Mirage
Mackay,AU,77.0,scattered clouds,-21.15,149.2,International Lodge Motel
Jaguaruana,BR,86.0,broken clouds,-4.83,-37.78,Pousada Popular
Olinda,BR,82.4,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
Salalah,OM,82.4,few clouds,17.02,54.09,HAMDAN PLAZA HOTEL
Arraial Do Cabo,BR,75.2,scattered clouds,-22.97,-42.03,Pousada Porto Praia
Cockburn Town,TC,82.4,scattered clouds,21.46,-71.14,Osprey Beach Hotel
Ranong,TH,80.22,broken clouds,9.97,98.63,Tinidee Hotel@Ranong
Saint-Pierre,RE,75.2,broken clouds,-21.34,55.48,Lindsey Hôtel
Banda Aceh,ID,79.56,broken clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
Port Blair,IN,83.35,clear sky,11.67,92.75,Hotel Sentinel
Souillac,MU,75.99,shower rain,-20.52,57.52,Bils' Villa
Lubbock,US,78.01,few clouds,33.6,-101.83,La Quinta Inn by Wyndham Lubbock - Downtown Civic Center
Keti Bandar,PK,79.03,broken clouds,24.14,67.45,Haji laloo memon house
Kavaratti,IN,85.24,few clouds,10.57,72.64,Bismillah Hotel And Lodging
Kavieng,PG,83.59,broken clouds,-2.57,150.8,Nusa Island Retreat
Tres Palos,MX,87.8,clear sky,18.18,-101.62,
Formosa,AR,87.8,clear sky,-26.18,-58.18,Asterión Hotel
Safaga,EG,77.0,clear sky,26.73,33.94,Lamar Resort Abu Soma
Eenhana,,75.2,overcast clouds,-17.47,16.33,Hotel Litu
Quatre Cocos,MU,75.99,shower rain,-20.21,57.76,Veranda Palmar Beach Hotel
Lao Cai,VN,76.17,scattered clouds,22.48,103.95,Legend Hotel
Alice Springs,AU,78.8,clear sky,-23.7,133.88,Desert Palms Alice Springs
Oranjestad,AW,86.0,few clouds,12.52,-70.03,Divi Village Golf & Beach Resort
Nisia Floresta,BR,84.2,scattered clouds,-6.09,-35.21,Rancho Crepusculo
Imuris,MX,81.0,broken clouds,30.78,-110.87,"SINAÍ DE ÍMURIS CASA HOGAR, A.C."
Riyadh,SA,78.8,overcast clouds,24.69,46.72,InterContinental Riyadh
Qeshm,IR,77.0,mist,26.96,56.27,Kimia IV Hotel
Coahuayana,MX,87.8,clear sky,18.73,-103.68,Hotel Los Arcos
Port Moresby,PG,75.2,fog,-9.44,147.18,Lamana Hotel
Takoradi,GH,82.62,overcast clouds,4.88,-1.76,Raybow International Hotel
Yarada,IN,82.4,mist,17.65,83.27,"D-26/2, Dolphin Hill,"
Cayenne,GF,80.6,broken clouds,4.93,-52.33,Hôtel Le Dronmi
Conde,BR,80.6,scattered clouds,-7.26,-34.91,Pousada Beija Flor
Luanda,AO,80.6,few clouds,-8.84,13.23,EPIC SANA Luanda
Nioro,GM,84.38,broken clouds,13.35,-15.75,
Goure,NE,82.06,few clouds,13.98,10.27,
Georgetown,MY,78.8,few clouds,5.41,100.34,Cititel Penang
Canchungo,GW,84.2,scattered clouds,12.07,-16.03,Hotel Pereira
Kroya,ID,78.71,broken clouds,-7.63,109.25,RUSTANTO Fam
Talara,PE,78.76,few clouds,-4.58,-81.27,Hostal Oro Negro
East London,ZA,75.74,clear sky,-33.02,27.91,Tu Casa
Angoche,MZ,75.38,few clouds,-16.23,39.91,Guest House HESADA
Tomatlan,MX,86.07,clear sky,19.93,-105.25,Norma franco
Jalingo,NG,88.52,overcast clouds,8.88,11.37,Debright Motel
Guarapari,BR,75.99,scattered clouds,-20.67,-40.5,Hotel Porto do Sol
Kinkala,CG,80.6,overcast clouds,-4.36,14.76,Hotel la Vernande
Alta Floresta,BR,77.0,light rain,-9.88,-56.09,Floresta Amazonica Hotel
Victoria,HK,75.99,overcast clouds,22.29,114.16,Mini Hotel Central
Ternate,ID,80.31,scattered clouds,0.8,127.4,Grand Dafam Bela Ternate
Sri Aman,MY,78.8,overcast clouds,1.24,111.46,Seri Simanggang Hotel
San Patricio,MX,78.8,clear sky,19.22,-104.7,Hotel Cabo Blanco
Santiago,CL,84.2,clear sky,-33.46,-70.65,Hotel Panamericano
Lagunas,PE,89.69,clear sky,-5.23,-75.68,Hospedaje Eco
Manoel Urbano,BR,87.66,few clouds,-8.84,-69.26,Baixada Beira Rio
Ratlam,IN,78.78,overcast clouds,23.32,75.07,Hotel Ashok
Birao,CF,84.25,scattered clouds,10.28,22.79,
Maracaju,BR,77.34,few clouds,-21.61,-55.17,Maracaju Plaza Hotel - Hospedagem - Maracaju/MS
Axim,GH,82.53,overcast clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
Tual,ID,83.97,clear sky,-5.67,132.75,Grand Vilia Hotel
Vila Velha,BR,75.99,scattered clouds,-20.33,-40.29,Hotel Vitória Palace
Taoudenni,ML,81.66,clear sky,22.68,-3.98,
Tatawin,TN,89.6,overcast clouds,32.93,10.45,Sangho Privilege Tataouine
Buldana,IN,83.1,broken clouds,20.53,76.18,"Sai Krupa Lawn And Regency, Buldhana"
Bac Lieu,VN,80.47,clear sky,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
Sonoita,MX,79.0,broken clouds,31.85,-112.83,Hotel Excelsior
Potiskum,NG,83.7,broken clouds,11.71,11.07,Tamir Hotel Ltd
General Roca,AR,77.0,overcast clouds,-39.03,-67.58,Hotel El Recreo
Namatanai,PG,82.09,broken clouds,-3.67,152.43,Namatanai Hotel
Puerto Escondido,MX,87.8,clear sky,15.85,-97.07,Aldea del Bazar Hotel and Spa
Cotonou,BJ,82.4,scattered clouds,6.37,2.42,Novotel Cotonou Orisha
Kidal,ML,87.33,overcast clouds,18.44,1.41,
Ipixuna,BR,80.6,broken clouds,-1.76,-48.8,Casa da Oscarina
Davila,PH,79.97,overcast clouds,18.47,120.58,
Bambous Virieux,MU,75.99,shower rain,-20.34,57.76,Casa Tia Villa
Caucaia,BR,86.0,few clouds,-3.74,-38.65,M.O.S. Logística - Filial Fortaleza
Cabo San Lucas,MX,77.0,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
Harper,LR,82.0,overcast clouds,4.38,-7.72,Cape View Guest House
Tabu,PH,77.36,scattered clouds,9.89,122.71,
Kharsia,IN,80.96,scattered clouds,21.97,83.12,College Hostel
Barra Dos Coqueiros,BR,82.4,scattered clouds,-10.91,-37.04,Quality Hotel Aracaju
Saint-Philippe,RE,75.2,broken clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
Umm Lajj,SA,75.81,clear sky,25.02,37.27,Tanal Hotel Apartment
Sabha,LY,83.37,clear sky,27.04,14.43,محطة ام الارانب -سبها مواصلات
Mendoza,AR,80.6,clear sky,-32.89,-68.83,Hotel Mendoza
Kalmunai,LK,81.82,broken clouds,7.42,81.82,VS Villa
Weligama,LK,78.3,few clouds,5.97,80.42,Weligama Bay Resort
Oistins,BB,84.2,scattered clouds,13.07,-59.53,Butterfly Beach Hotel
San Julian,MX,86.99,clear sky,21.02,-102.17,La Nueva España
Mitsamiouli,KM,83.07,broken clouds,-11.38,43.28,Foyer ADM
Butterworth,MY,78.8,few clouds,5.4,100.36,Cititel Penang
Porto Novo,BJ,82.4,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
Touros,BR,82.4,few clouds,-5.2,-35.46,INN NEW HORIZON
Mangrol,IN,79.97,clear sky,21.12,70.12,Hotel The Royal Honours
Atar,MR,75.74,clear sky,20.52,-13.05,Oumou Elghoura
Lima,PE,75.2,scattered clouds,-12.04,-77.03,Gran Hotel Bolivar Lima
Chiknayakanhalli,IN,78.62,few clouds,13.42,76.62,ಮಹಾಲಕ್ಷ್ಮಿ ಬೇಕರಿ
Grand Gaube,MU,75.99,shower rain,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
Mecca,SA,75.7,overcast clouds,21.43,39.83,Al Shohada Hotel MAKKAH
Miraflores,MX,82.4,scattered clouds,19.22,-98.81,Hotel Mansión
Bosaso,SO,83.95,overcast clouds,11.28,49.18,Red Sea Hotel
Cam Ranh,VN,80.6,few clouds,11.92,109.16,OYO 598 Peony Hotel
Vung Tau,VN,80.82,clear sky,10.35,107.08,Seaside Resort
Chorozinho,BR,86.0,few clouds,-4.3,-38.5,Casa da Mar
Presidencia Roque Saenz Pena,AR,79.93,clear sky,-26.79,-60.44,Hotel Aconcagua
Champerico,GT,87.49,few clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
Paoua,CF,77.81,overcast clouds,7.24,16.44,Quartier Paoua Elien
Bria,CF,77.63,broken clouds,6.54,21.99,
Rio Grande,BR,77.0,few clouds,-32.03,-52.1,Swan Express Rio Grande
Sao Miguel Do Iguacu,BR,82.4,clear sky,-25.35,-54.24,Hotel Itaguaçu
Saint Marys,US,82.0,scattered clouds,30.73,-81.55,Spencer House Inn
Alofi,NU,82.4,broken clouds,-19.06,-169.92,Taloa Heights
San Andres,CO,87.8,few clouds,12.58,-81.7,Hotel Arena Blanca
Manokwari,ID,81.05,scattered clouds,-0.87,134.08,Swiss Belhotel Manokwari
Kununurra,AU,75.2,overcast clouds,-15.77,128.73,Hotel Kununurra
Port Hedland,AU,75.2,broken clouds,-20.32,118.57,The Esplanade Hotel
Yulara,AU,75.2,few clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
Bubaque,GW,77.41,broken clouds,11.28,-15.83,Casa Dora
Matara,LK,78.04,scattered clouds,5.95,80.54,Amaloh Boutique Resort
Basco,PH,80.15,overcast clouds,20.45,121.97,Nathaniel's Lodge
Pisco,PE,77.0,clear sky,-13.7,-76.22,Hostal San Isidro Oficial
Kudahuvadhoo,MV,84.63,scattered clouds,2.67,72.89,Kudahuvadhoo Retreat
Soyapango,SV,89.6,haze,13.73,-89.15,CASA MISIONERA MCA
Huarmey,PE,77.76,clear sky,-10.07,-78.15,Hotel Miramar
Bairiki,KI,82.4,shower rain,1.33,172.98,Tarawa Boutique Hotel
Soyo,AO,80.42,overcast clouds,-6.13,12.37,Hotel Mpampa
Kuah,MY,80.6,few clouds,6.33,99.84,Azio Hotel
Dwarka,IN,80.51,clear sky,22.24,68.97,Hotel Narayan Avezika Comfort
Veraval,IN,80.22,clear sky,20.9,70.37,Lords Inn Somnath
Kailua,US,82.4,clear sky,21.4,-157.74,Sheffield House Bed & Breakfast
Ugoofaaru,MV,85.95,clear sky,5.67,73.0,Ungoofaaru Inn
